"","displayName","defensiveTeam","x","n","a","b","BITE","BITE_LB","BITE_UB","BITE_probs"
"67","Jaire Alexander","GB",23,27,92.0095312495504,23.1341773016671,80.9,74.1,86.9,10.2
"68","Shaquill Griffin","JAX",29,34,92.6447202406402,23.6998121545824,80.9,74.3,86.8,9.5
"69","Greg Newsome","CLE",21,24,92.8334207001715,23.871451037187,80.9,74,86.9,10.2
"70","Samuel Womack","SF",5,5,91.6576249153042,22.8285400599928,80.9,73.4,87.4,12.2
"71","Mike Hilton","CIN",35,41,93.3026482486845,24.3057318967161,80.9,74.4,86.6,8.8
"72","Josh Jackson","PIT",7,7,92.4135550244851,23.4918272880939,80.9,73.5,87.3,11.8
"73","Eric Stokes","GB",24,29,91.0243012028312,22.2916656006934,80.8,74,86.8,9.7
"74","Dane Jackson","BUF",28,35,89.189330915805,20.8239406984038,80.8,74,86.8,9.4
"75","Kyler Gordon","CHI",44,53,92.3262149061005,23.4138872872294,80.8,74.5,86.4,7.6
"76","Deommodore Lenoir","SF",25,30,91.6576249153042,22.8285400599928,80.7,73.9,86.7,9
"77","Nate Hobbs","LV",36,40,96.5355757874081,27.6356746371796,80.7,74.4,86.4,7.6
"78","Sean Murphy-Bunting","TB",9,10,91.9766851059828,23.1054216033849,80.7,73.4,87.1,10.7
"79","Damarion Williams","BAL",20,23,93.0365513186144,24.0581254014723,80.7,73.8,86.8,9.1
"80","Carlton Davis","TB",36,40,96.6933426955419,27.815893104197,80.7,74.3,86.3,7.2
"81","Ambry Thomas","SF",3,3,91.6576249153042,22.8285400599928,80.6,73,87.2,10.6
"82","Tre Herndon","JAX",15,17,93.1325874484702,24.1470827602953,80.5,73.4,86.7,8.8
"83","Darnay Holmes","NYG",16,18,93.4916652372567,24.4837781244201,80.5,73.5,86.7,8.7
"84","Cameron Sutton","PIT",20,24,92.1698466217025,23.2752137933592,80.4,73.5,86.6,8
"85","Jourdan Lewis","DAL",25,28,95.2754045713081,26.2604190276271,80.4,73.7,86.4,7.2
"86","Danny Johnson","WAS",4,4,92.3620084922489,23.4457863611998,80.4,72.9,87,9.7
"87","Cam Taylor-Britt","CIN",10,11,93.0871319355777,24.1049211105987,80.4,73.1,86.8,8.8
"88","Jaycee Horn","CAR",26,31,92.9915928651732,24.016636434037,80.4,73.7,86.4,7.1
"89","Noah Igbinoghene","MIA",9,10,92.9725138909576,23.9990596267066,80.3,73,86.7,8.5
"90","Bryce Callahan","LAC",22,26,93.2760751350238,24.2808464536428,80.3,73.4,86.4,7.1
"91","Christian Matthew","ARI",2,2,91.945692824846,23.0783323896248,80.3,72.6,86.9,9.3
"92","Martin Emerson","CLE",34,41,93.3181934952752,24.3203063628593,80.3,73.7,86.1,5.9
"93","Lonnie Johnson","TEN",3,3,92.4045455228064,23.483771294587,80.2,72.7,86.9,8.9
"94","Tre Avery","TEN",3,3,92.4045455228064,23.483771294587,80.2,72.7,86.9,8.9
"95","Marlon Humphrey","BAL",30,34,95.9895076254274,27.0261720498776,80.2,73.7,86.1,5.9
"96","Dontae Johnson","SF",1,1,91.6576249153042,22.8285400599928,80.2,72.5,86.9,9.2
"97","Akayleb Evans","MIN",9,10,93.2300736669945,24.2378504522544,80.2,72.9,86.6,7.9
"98","Mike Ford","ATL",9,10,93.2652063480551,24.2706781872982,80.2,72.9,86.6,7.8
"99","Dee Alford","ATL",13,15,93.2652063480551,24.2706781872982,80.2,73,86.5,7.4
"100","Patrick Peterson","MIN",29,31,98.0133652745197,29.4040095823559,80.2,73.6,86,5.6
"101","Greedy Williams","CLE",5,5,93.3181934952752,24.3203063628593,80.2,72.7,86.7,8.2
"102","Coby Bryant","SEA",36,44,92.8633666161312,23.8988455289424,80.2,73.7,85.9,5.4
"103","Chris Lammons","KC",3,3,92.6383107958138,23.6940118224129,80.1,72.6,86.8,8.4
"104","Kelvin Joseph","DAL",1,1,91.8687352405048,23.0112483629966,80.1,72.4,86.9,8.7
"105","Ja'Marcus Ingram","BUF",3,3,92.6745872490943,23.7268662934547,80.1,72.5,86.8,8.3
"106","Aaron Robinson","NYG",5,5,93.4916652372567,24.4837781244201,80.1,72.6,86.6,7.8
"107","Nick McCloud","NYG",5,5,93.4916652372567,24.4837781244201,80.1,72.6,86.6,7.8
"108","Jaylon Johnson","CHI",14,17,92.4473935515569,23.5221178858991,80.1,72.9,86.4,6.9
"109","Steven Nelson","HOU",32,41,89.9488178075035,21.4163851922627,80,73.4,86,5.4
"110","Elijah Campbell","MIA",3,3,92.9725138909576,23.9990596267066,80,72.4,86.6,7.7
"111","Tae Hayes","CAR",3,3,92.9915928651732,24.016636434037,80,72.4,86.6,7.7
"112","Christian Benford","BUF",10,12,92.6745872490943,23.7268662934547,80,72.6,86.4,6.9
"113","Cameron Lewis","BUF",2,2,92.6745872490943,23.7268662934547,80,72.3,86.6,7.7
"114","Jalen Mills","NE",25,28,96.3727262798116,27.4516250615221,79.9,73.2,85.9,5.1
"115","Darius Slay","PHI",23,27,94.5468252082251,25.512635373648,79.9,73.1,86,5.4
"116","Christian Holmes","WAS",1,1,92.3620084922489,23.4457863611998,79.9,72.2,86.7,7.7
"117","Chris Jackson","TEN",1,1,92.4045455228064,23.483771294587,79.9,72.2,86.6,7.7
"118","Elijah Riley","PIT",1,1,92.4135550244851,23.4918272880939,79.9,72.2,86.6,7.6
"119","Fabian Moreau","NYG",29,32,97.5754037831715,28.860330696431,79.9,73.3,85.7,4.6
"120","Joshua Williams","KC",13,16,92.6383107958138,23.6940118224129,79.8,72.6,86.2,6
"121","Dicaprio Bootle","KC",1,1,92.6383107958138,23.6940118224129,79.8,72.1,86.5,7.2
"122","Denzel Ward","CLE",20,24,93.8477770252978,24.8242506970142,79.8,72.9,85.9,5.2
"123","Antonio Hamilton","ARI",11,14,91.945692824846,23.0783323896248,79.8,72.5,86.2,6.2
"124","Shaun Wade","NE",1,1,92.7384620066204,23.7848667513156,79.8,72.1,86.5,7
"125","Sam Webb","LV",2,2,93.1876851229586,24.1983250865122,79.7,72.1,86.4,6.7
"126","Jaylen Watson","KC",28,35,92.6383107958138,23.6940118224129,79.7,73,85.7,4.5
"127","Zech McPhearson","PHI",2,2,93.2790434097662,24.2836244481324,79.7,72.1,86.4,6.6
"128","Arthur Maulet","PIT",27,34,92.4135550244851,23.4918272880939,79.7,72.9,85.7,4.4
"129","Damarri Mathis","DEN",27,34,92.4251685778899,23.5022172377283,79.7,72.9,85.7,4.3
"130","Jalen Davis","CIN",1,1,93.0871319355777,24.1049211105987,79.6,71.9,86.3,6.4
"131","Robert Rochell","LA",1,1,93.0877131592737,24.1054595731402,79.6,71.9,86.3,6.4
"132","Marcus Jones","NE",4,5,92.7384620066204,23.7848667513156,79.6,72,86.3,6.1
"133","Trayvon Mullen","ARI",2,3,91.945692824846,23.0783323896248,79.6,71.9,86.3,6.4
"134","Justin Layne","NYG",2,2,93.4916652372567,24.4837781244201,79.6,72,86.3,6.2
"135","Chase Lucas","DET",1,1,93.1873186801404,24.1979837862625,79.6,71.9,86.3,6.2
"136","Ifeatu Melifonwu","DET",1,1,93.1873186801404,24.1979837862625,79.6,71.9,86.3,6.2
"137","Saivion Smith","DET",1,1,93.1873186801404,24.1979837862625,79.6,71.9,86.3,6.2
"138","Trevon Diggs","DAL",26,28,98.5384764976606,30.0801665098122,79.5,72.9,85.4,3.6
"139","Chandon Sullivan","MIN",27,30,97.8333160806861,29.178357427573,79.5,72.9,85.4,3.6
"140","Trent McDuffie","KC",3,4,92.6383107958138,23.6940118224129,79.5,71.9,86.2,5.8
"141","Marcus Peters","BAL",23,29,93.0365513186144,24.0581254014723,79.4,72.5,85.6,3.9
"142","Grant Haley","LA",11,14,93.0877131592737,24.1054595731402,79.3,72,85.8,4.6
"143","Rachad Wildgoose","WAS",13,17,92.3620084922489,23.4457863611998,79.3,72.1,85.8,4.4
"144","Dee Delaney","TB",8,11,91.9766851059828,23.1054216033849,79.3,71.8,85.9,4.8
"145","Caleb Farley","TEN",9,12,92.4045455228064,23.483771294587,79.3,71.9,85.8,4.6
"146","Essang Bassey","DEN",1,2,92.4251685778899,23.5022172377283,79.2,71.5,86,5.2
"147","Daron Bland","DAL",7,10,91.8687352405048,23.0112483629966,79.2,71.7,85.8,4.5
"148","Tavierre Thomas","HOU",1,2,92.6092302349073,23.6677191275468,79.1,71.4,85.9,4.9
"149","Kindle Vildor","CHI",28,31,98.8195757174461,30.4538315104079,79.1,72.5,85,2.6
"150","Montaric Brown","JAX",2,3,93.1325874484702,24.1470827602953,79.1,71.4,85.8,4.6
"151","Avonte Maddox","PHI",25,32,93.2790434097662,24.2836244481324,79.1,72.2,85.2,2.9
"152","Justin Coleman","SEA",5,7,92.8633666161312,23.8988455289424,79.1,71.5,85.7,4.3
"153","Josiah Scott","PHI",6,8,93.2790434097662,24.2836244481324,79.1,71.6,85.7,4.2
"154","David Long","LA",13,17,93.0877131592737,24.1054595731402,79.1,71.8,85.5,3.6
"155","Isaiah Oliver","ATL",17,22,93.2652063480551,24.2706781872982,79,71.9,85.3,3.3
"156","Jalyn Armour-Davis","BAL",5,7,93.0365513186144,24.0581254014723,79,71.4,85.7,4.1
"157","Jack Jones","NE",23,30,92.7384620066204,23.7848667513156,79,72.1,85.2,2.9
"158","Siran Neal","BUF",4,6,92.6745872490943,23.7268662934547,79,71.4,85.7,4.2
"159","Cobie Durant","LA",1,2,93.0877131592737,24.1054595731402,78.9,71.2,85.7,4.3
"160","Keion Crossen","MIA",8,11,92.9725138909576,23.9990596267066,78.9,71.5,85.5,3.6
"161","Chris Harris","NO",17,17,99.3100699297352,31.1270368436484,78.9,72,85.1,2.6
"162","Brandon Facyson","IND",10,11,96.4718135518781,27.5633753005366,78.8,71.6,85.3,3.1
"163","Zyon McCollum","TB",9,13,91.9766851059828,23.1054216033849,78.8,71.4,85.4,3.5
"164","Jace Whittaker","ARI",8,12,91.945692824846,23.0783323896248,78.7,71.2,85.3,3.2
"165","Bradley Roby","NO",19,26,92.5969781702627,23.6566535037042,78.4,71.4,84.8,2.1
"166","Cordale Flott","NYG",5,8,93.4916652372567,24.4837781244201,78.2,70.6,84.9,2.4
"167","Alontae Taylor","NO",12,18,92.5969781702627,23.6566535037042,77.9,70.5,84.5,1.6
"168","A.J. Terrell","ATL",27,35,96.2903218350773,27.3592427354279,77.7,70.9,83.8,0.8
"169","Brandin Echols","NYJ",3,3,97.8333160806861,29.178357427573,77.6,70,84.3,1.4
"170","Tyson Campbell","JAX",41,47,102.142043827886,35.7081941837324,77.4,71.2,83.2,0.4
"171","Amani Oruwariye","DET",31,38,99.3367516145483,31.1644710947603,77.4,70.8,83.3,0.5
"172","Amik Robertson","LV",13,20,93.1876851229586,24.1983250865122,77.3,70,83.9,1
"173","Asante Samuel","LAC",28,32,102.765479793515,36.9418391414597,76.2,69.5,82.2,0.1
"174","J.C. Jackson","LAC",13,16,100.473658354781,32.8471575390631,76,68.9,82.5,0.2
"175","Kristian Fulton","TEN",33,42,103.441385569384,38.4210860686285,74.2,67.7,80.3,0
"176","Eli Apple","CIN",21,27,104.17350004008,40.2488522882128,73,66.2,79.4,0
"177","James Bradberry","PHI",23,29,105.642428118979,45.2753263367052,71.5,64.7,77.8,0
