,displayName,defensiveTeam,x_stat,n_stat,a,b,BITE,BITE_LB,BITE_UB,BITE_probs
107,Markquese Bell,DAL,1,1,97.46894538,28.73079497,77.4,69.8,84.2,1
108,Jeremy Reaves,WAS,2,2,97.8879776,29.246542,77.4,69.8,84.1,0.9
109,Chris Banjo,ARI,1,1,97.60186736,28.89268632,77.3,69.7,84.2,0.9
110,Rodney McLeod,IND,38,40,104.7402155,41.8960862,77.3,70.2,82.3,0.1
111,Johnathan Abram,LV,47,56,105.5401738,44.81842998,77.3,67.7,79.7,0
112,Tony Jefferson,NYG,4,4,98.77411914,30.39282665,77.2,69.7,83.9,0.7
113,Percy Butler,WAS,1,1,97.8879776,29.246542,77.2,69.6,84,0.8
114,Tony Adams,NYJ,1,1,97.94212718,29.31436338,77.1,69.5,84,0.8
115,Bobby Price,DET,3,3,98.5823984,30.13799498,77.1,69.6,83.9,0.7
116,Verone McKinley,MIA,2,2,98.33908565,29.8201627,77.1,69.5,83.9,0.7
117,Dax Hill,CIN,2,2,98.37372869,29.86504436,77.1,69.5,83.8,0.7
118,Michael Thomas,CIN,2,2,98.37372869,29.86504436,77.1,69.5,83.8,0.7
119,J.T. Gray,NO,1,1,98.08655437,29.49661572,77.1,69.4,83.9,0.7
120,Amani Hooker,TEN,21,23,102.7732102,36.95785391,77,69.2,82.3,0.1
121,John Johnson,CLE,38,47,104.9969107,42.73743601,77,67,79.4,0
122,Matthias Farley,LV,1,1,98.51982009,30.05566437,76.8,69.2,83.6,0.6
123,C.J. Moore,DET,1,1,98.5823984,30.13799498,76.8,69.2,83.6,0.5
124,Justin Reid,KC,35,44,105.1913847,43.4276359,76.3,66.3,78.8,0
125,Eric Murray,HOU,7,8,101.3840238,34.33974999,75.9,68.1,82.1,0.1
126,Erik Harris,ATL,7,7,101.8516026,35.16849059,75.6,68.3,82.2,0.1
127,Trevon Moehrig,LV,19,21,104.9814814,42.68477815,74.4,66.6,79.9,0
128,Jordan Fuller,LA,11,12,103.9926168,39.77054749,74.3,66.7,80.4,0
129,Landon Collins,NYG,1,1,103.7431248,39.14117894,72.8,65.3,79.7,0
130,Andrew Wingard,JAX,1,1,105.870363,46.40892624,69.7,62.2,76.7,0
