"","displayName","defensiveTeam","x_stat","n_stat","a","b","BITE","BITE_LB","BITE_UB","BITE_probs"
"106","Neil Farrell","LV",6,7,103.193810864738,37.8595739924487,74.3,66.4,80.5,10.2
"107","Javon Kinlaw","SF",1,2,102.247348779082,35.9090427743878,74.2,66.1,80.6,10.4
"108","DaQuan Jones","BUF",16,18,104.804761255901,42.1010579404047,74.2,66.3,79.7,6.8
"109","Antwaun Woods","ARI",2,2,102.579232909468,36.561605600314,74.1,66.6,81,12.6
"110","Tommy Togiai","CLE",6,7,103.392201746568,38.3075490118439,74.1,66.2,80.3,9.2
"111","Jaleel Johnson","HOU",3,4,102.917515559055,37.2603650523317,74,66,80.3,9.1
"112","Brandin Bryant","BUF",3,3,102.962183839106,37.3554106081297,73.9,66.5,80.8,11.5
"113","Prince Emili","BUF",3,3,102.962183839106,37.3554106081297,73.9,66.5,80.8,11.5
"114","Matt Dickerson","ATL",5,6,103.357490133128,38.2280276983871,73.9,66,80.2,8.7
"115","Daviyon Nixon","CAR",4,4,103.176252499317,37.8206671913905,73.9,66.5,80.7,11.3
"116","Perrion Winfrey","CLE",5,6,103.392201746568,38.3075490118439,73.9,66,80.2,8.5
"117","Domenique Davis","CIN",3,3,103.014726775954,37.4680914224523,73.9,66.4,80.7,11.3
"118","Henry Mondeaux","NYG",5,5,103.394980517787,38.3139365190453,73.9,66.5,80.6,11
"119","Taylor Stallworth","KC",2,2,102.820076116249,37.0553539276585,73.9,66.4,80.7,11.4
"120","Sam Roberts","NE",2,2,102.889158990053,37.200378112903,73.8,66.3,80.7,11
"121","Michael Dwumfour","HOU",2,3,102.917515559055,37.2603650523317,73.8,65.8,80.2,8.4
"122","Benito Jones","DET",4,5,103.306237227369,38.1115118800044,73.8,65.9,80.1,8.2
"123","John Cominsky","DET",4,5,103.306237227369,38.1115118800044,73.8,65.9,80.1,8.2
"124","Donovan Jeter","WAS",1,1,102.746935308231,36.903498525836,73.8,66.2,80.7,10.9
"125","C.J. Brewer","BUF",2,2,102.962183839106,37.3554106081297,73.8,66.2,80.6,10.7
"126","Jalen Dalton","ATL",4,4,103.357490133128,38.2280276983871,73.7,66.3,80.5,10.3
"127","Marvin Wilson","PHI",4,5,103.36656693593,38.2487738826429,73.7,65.8,80.1,7.9
"128","Matthew Butler","LV",3,3,103.193810864738,37.8595739924487,73.7,66.3,80.6,10.3
"129","D.J. Davidson","NYG",4,5,103.394980517787,38.3139365190453,73.7,65.8,80,7.8
"130","Ben Stille","MIA",2,2,103.048963520158,37.5420348051497,73.7,66.2,80.5,10.2
"131","Christian Ringo","NO",1,2,102.909121836083,37.2425803912562,73.6,65.5,80,7.7
"132","Eric Johnson","IND",0,1,102.736245172311,36.8814460540591,73.6,65.5,80,7.7
"133","Teair Tart","TEN",14,17,105.009840475507,42.7817868603919,73.6,65.2,78.8,3.6
"134","Phil Hoskins","CAR",2,2,103.176252499317,37.8206671913905,73.6,66.1,80.4,9.6
"135","Greg Gaines","LA",14,16,105.017356134205,42.8076612981069,73.5,65.6,79.2,4.8
"136","Khyiris Tonga","MIN",1,2,103.334405211391,38.1754159229633,73.2,65.2,79.7,6.2
"137","Ross Blacklock","MIN",1,5,103.334405211391,38.1754159229633,73.2,63.6,78.2,2.4
"138","Jonah Williams","LA",1,1,103.355732540322,38.2240144019319,73.2,65.7,80.1,8.1
"139","Ryder Anderson","NYG",1,1,103.394980517787,38.3139365190453,73.2,65.6,80.1,7.9
"140","Demetrius Taylor","DET",0,1,103.306237227369,38.1115118800044,73.1,64.9,79.5,5.7
